Virtual Poster No	Abstract Title	Presenter First Name	Presenter Last Name	Submitter Institution	Parent Category	Primary Category
159	Common and unique multimodal covarying patterns in Autism Spectrum Disorder subtypes	Shile	Qi	Tri-institutional Center for Translational Research in Neuroimaging and Data Science (TReNDS)	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
160	The relevance of transdiagnostic shared networks to symptoms and cognition in schizophrenia	Shile	Qi	Tri-institutional Center for Translational Research in Neuroimaging and Data Science (TReNDS)	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
161	Functional network redundancy in healthy aging and mild cognitive impairment	Stephanie	Langella	UNC-Chapel Hill	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
162	Mapping latent neuroanatomical substrates underlying severe temper outbursts in children	Anthony	Mekhanik	Child Mind Institute	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
163	Trajectories of neuroanatomical changes in transgenic models of Alzheimer's disease	Marina	Blūma	Sapienza University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
164	Using task and intrinsic functional connectivity to detect changes after ketamine	Jen	Evans	NIH	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
165	Cortical gyrification in ASD and ADHD across the lifespan: A systematic review and meta-analysis	Avideh	Gharehgazlou	University of Toronto	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
166	Functional cartography of cognitive dysfunction in focal epilepsies: a multiscale task-fMRI analysis	Lorenzo	Caciagli	University of Pennsylvania	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
167	Failure of network segregation during memory consolidation and retrieval in schizophrenia	Asadur	Chowdury	Wayne State University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
168	Robust Topological Alterations in the Frontal Lobe and Default Mode Network in ADHD	Zeus	Gracia-Tabuenca	Universidad Nacional Autonoma de Mexico	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
169	Network-based functional imaging output in multiple sclerosis correlates with disease progression	Florence	Chiang	University of Texas Heath Science Center at San Antonio	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
170	Longitudinal Changes of Magnetization Transfer Ratio in Postoperative Cerebellar Mutism Syndrome	Ping	Zou Stinnnett	St. Jude Children's Research Hospital	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
172	Using Functional Networks to Classify Seizure Onset Zones in Children with Focal Epilepsy	Wei	Zhang	UTHealth School of Public Health	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
173	Sulcal alterations and functional implications associated with hallucinations in schizophrenia	Colleen	Rollins	University of Cambridge	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
174	Dopaminergic medication alters brain connectivity in Parkinson’s disease with freezing of gait	Alexandra	Potvin-Desrochers	McGill University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
175	Altered Neurobehavioral Responses to Social Reciprocity in Women with Bulimia Nervosa	Yi	Luo	Virginia Tech	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
176	Regional Heterogeneity of Gray and White Matter Changes in Schizophrenia	Jinglei	Lv	University of Melbourne	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
177	Machine Learning Prediction of Childhood Maltreatment Using Multimodal Neuroimaging Data	Matthew	Price	University of Vermont	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
178	Hippocampal Subfield Volumes in Post-Stroke Dementia	zhiyong	zhao	Zhe Jiang University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
179	Harmonization of the multi-center imaging protocol on cerebral small vessel disease in China	Bonnie Yin Ka	Lam	Chinese University of Hong Kong	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
180	Links of Enlarged Perivascular Spaces to Age Related Neuropathologies and Cognitive Decline	Carles	Javierre Petit	Illinois Institute of Technology	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
181	Generalizable, reproducible, and interpretable imaging biomarkers for Alzheimer's disease	Dan	Jin	Institute of Automation Chinese Academy of Sciences	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
182	Cerebral hemodynamic responses of subjective cognitive decline evoked by loaded N-back tasks	Yaoyu	Zhang	Peking University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
183	Structural brain network development in middle childhood after prenatal methamphetamine exposure	Annerine	Roos	Stellenbosch University	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
184	Decreased Dynamic Integration Ability in Cortical Resting-State Networks in Autism Spectrum Disorder	qi	zhao	Fudan University	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
185	Association between polygenic risk for schizophrenia with functional and structural brain	Jujiao	Kang	Fudan University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
186	Alpha power and functional connectivity in mild cognitive impairment	Nena	Lejko	University Medical Center Groningen	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
187	Stratifying longitudinal attention-deficit hyperactivity disorder with their neural signatures	Di	Chen	Institute of Science and Technology for Brain-Inspired Intelligence, Fudan University	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
189	No evidence for biological subtypes of depression: Another non-replication of Drysdale et al. (2017)	Maximilian	Lueckel	Heidelberg University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
190	Midline thalamus-based connectivity and hyperarousal in insomnia during wakefulness and sleep	Guangyuan	Zou	Peking University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
191	Classifying Major Depression Using Ensemble GAN (EnGAN) Based on Functional Network Connectivity	Jianlong	Zhao	Institute of Automation, Chinese Academy of Sciences	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
192	Iron overload in Substantia Nigra of REM Sleep Behavior Disorder and Parkinson’s Disease Patients	Rahul	Gaurav	ICM - Brain and Spine Institute	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
193	BCPL: Convolutional Prototype Learning for Brain Networks for Depression Diagnosis	Dongmei	Zhi	Institute of Automation Chinese Academy of Sciences	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
194	A LHPP genetic variant conferring risk to MDD and SCH was associated with GMV of parahippocampus	Zeyu	Jiao	Fudan university	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
195	Deep learning-based biomarkers for early detection of Parkinson’s Disease (PD)	Veronica	Munoz Ramirez	Univ. Grenoble Alpes, Inserm U1216, Grenoble Institut de Neurosciences	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
196	Decreased gyrification is related to autistic traits but not polygenic risk for autism	Silvia	Alemany	Barcelona Institute for Global Health	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
197	Functional brain imaging markers as predictors for response to Escitalopram and Sertraline	Helena	Metzker	Section for Experimental Psychopathology and Neuroimaging, Heidelberg University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
198	Effects of combination antiretroviral therapy on gray matter volume and cortical thickness of HIV	Fuchun	Lin	Wuhan Institute of Physics and Mathematics, Chinese Academy of Sciences	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
199	Morphological Alterations in Obsessive-compulsive Disorder	SH Annabel	Chen	Nanyang Technological University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
200	Altered functional connectivity of white matter networks in mesial temporal lobe epilepsy	Wei	Cui	Center for MRI Research, Peking University	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
201	Cerebral amyloid angiopathy is associated with decreased functional brain connectivity.	Nadieh	Drenth	Leiden University Medical Center	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
202	Tract-Based Spatial Statistics of Cerebral Small Vessel Disease in an HIV Population	Kyle	Murray	University of Rochester	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
203	Prefrontal hyperactivity related to expected reward value in adolescent major depressive disorder	David	Willinger	University Hospital of Psychiatry Zurich	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
204	Depression phenotypes and structural brain changes following childhood trauma: A replication study	Rebecca	Madden	University of Edinburgh	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
205	Elucidating Scans Without Evidence of Dopaminergic Deficiency: A Tractography Study	Arun	Venkataraman	University of Rochester	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
206	Aberrant social orienting and extrinsic functional connectivity during natural viewing in autism	Juha	Lahnakoski	Forschungszentrum Jülich	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
207	Effects of Traumatic Brain Injury on motor imagery of BA4a and BA4p	Isabella	Kaczmarczyk	University College London	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
208	Higher-order psychopathology associations with total brain volume	Francisco	Meyer	Vanderbilt University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
209	Neuropsychological and Neuroimaging Study of Thalamic Nuclei Degeneration in Multiple Sclerosis	Alexandr	Temniy	Kirov Military Medical Academy	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
210	Functional connectivity differences between ADHD individuals with good and poor treatment response	JUNG-CHI	CHANG	Department of Psychiatry, National Taiwan University Hospital	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
211	Large-scale functional connectivity alterations in Amyotrophic Lateral Sclerosis:A multicenter study	Komal	Bharti	University of Alberta	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
212	Multi-site bipolar disorder classification using subcortical shape morphometry	Ling-Li	Zeng	College of Intelligence Science and Technology, National University of Defense Technology	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
213	Network-level functional connectivity correlates of everyday memory in Parkinson disease	Meghan	Campbell	Washington University in St. Louis	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
214	Age-related changes in grey-matter free water distinguish depression and mild cognitive impairment	John	Anderson	Centre for Addiction and Mental Health	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
215	The longitudinal relationship of thalamic volume and memory in Multiple Sclerosis	Katherine	Koenig	The Cleveland Clinic	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
216	Positive Symptoms Associated with Gray Matter Patterns in the Cerebellum and OFC in Schizophrenia	Kelly	Rootes-Murdy	Georgia State University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
217	Differentiating the Dopaminergic Midbrain Nuclei in Parkinson's Disease Using Iron Imaging	Erind	Alushaj	Western University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
218	Network Diffusion Model Enhances Predictions of Future Tau-PET Burden in Alzheimer’s Patients	Pablo	Damasceno	UCSF	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
219	Validation of an epidemic spreading model to simulate Aβ spread in familial Alzheimer’s disease	Elizabeth	Levitis	McGill University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
